checkpoint,t_start,guidance_scale,auroc,auprc,f1_score,accuracy,sensitivity,specificity,precision,optimal_threshold
step_130000.pt,250,5.0,0.7277432098765432,0.8377186983115226,0.7829880043620502,0.7051851851851851,0.7977777777777778,0.52,0.7687366167023555,0.1826700866222381
step_120000.pt,250,7.5,0.7252148148148149,0.835754242306684,0.7362250879249707,0.6666666666666666,0.6977777777777778,0.6044444444444445,0.7791563275434243,0.2103614509105682
step_100000.pt,300,7.5,0.7172246913580247,0.8331214712905006,0.7702552719200888,0.6933333333333334,0.7711111111111111,0.5377777777777778,0.7694013303769401,0.2053077518939972
step_100000.pt,300,3.0,0.7138172839506174,0.8303475709845308,0.7542468856172141,0.6785185185185185,0.74,0.5555555555555556,0.76905311778291,0.2108282148838043
step_110000.pt,300,3.0,0.7122074074074075,0.8296106164613015,0.7889125799573561,0.7066666666666667,0.8222222222222222,0.4755555555555555,0.7581967213114754,0.1895248591899871
step_110000.pt,300,7.5,0.7120395061728395,0.829282594534773,0.7782608695652173,0.6977777777777778,0.7955555555555556,0.5022222222222222,0.7617021276595745,0.1959825903177261
step_110000.pt,300,5.0,0.7114074074074073,0.8288280396553577,0.7617977528089888,0.6859259259259259,0.7533333333333333,0.5511111111111111,0.7704545454545455,0.2056215405464172
step_100000.pt,300,5.0,0.7095209876543209,0.8276997214179932,0.7584650112866818,0.682962962962963,0.7466666666666667,0.5555555555555556,0.7706422018348624,0.2091966569423675
step_140000.pt,300,7.5,0.7063506172839507,0.8281284202678172,0.7617977528089888,0.6859259259259259,0.7533333333333333,0.5511111111111111,0.7704545454545455,0.2080240547657013
step_120000.pt,300,3.0,0.7058765432098766,0.8259600862934809,0.7660044150110376,0.6859259259259259,0.7711111111111111,0.5155555555555555,0.7609649122807017,0.2028142213821411
step_120000.pt,300,5.0,0.7055506172839506,0.8253019012679597,0.7463026166097838,0.6696296296296296,0.7288888888888889,0.5511111111111111,0.7645687645687645,0.2139890640974044
